Details of Outward Supplies,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Site,GSTIN
Header Details,nan,nan,nan,nan,Invoice Details,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IGST,nan,CGST,nan,SGST/UTGST,nan,CESS,nan,Shipping bill/ Bill of export details,nan,Nature of supply,nan,nan,nan,nan,nan,,
S.No,Ledger,Customer name,GSTIN/UIN,Place of supply,Invoice  number,Tax invoice number,Invoice date,GL Date,Currency,Currency Rate,Invoice value (Foreign),Invoice value (INR),Rate,Taxable value  (Foreign),Taxable value (INR),IGST rate,IGST amount,CGST rate,CGST amount,SGST/UTGST rate,SGST/UTGST amount,Cess rate,Cess amount,Shipping bill/ Bill of export number,Shipping bill/ Bill of export date,Zero Rated Supplies,Nil Rated Supplies,Exempted (Other than Nil rated/non-GST supply),Non GST supply,Type of Export,E-commerce Operator,,
1,‭0138‬,0003 - EATON CORPORATION,nan,nan,2401382241,nan,2025-02-01 00:00:00,2025-02-01 00:00:00,USD,85.61,2097585,179574251.85,0,2097585,179574251.85,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,,
2,‭0138‬,0270 - EATON INDIA INNOVATION CENTER LLP,27AAFFE4333D1ZT,Maharashtra,2401382261,nan,2025-02-01 00:00:00,2025-02-01 00:00:00,INR,nan,nan,267443,0,nan,267443,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,nan,nan,Export LUT sales,nan,270.0,27AAFFE4333D1ZT
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,36479.06,0,nan,36479.06,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A02,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,255.0,27AABCE4323Q1ZE
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,36479.06,0,nan,36479.06,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A02,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,269.0,27AABCE4323Q1ZE
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,36479.06,0,nan,36479.06,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A02,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,231.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,83370.67,0,nan,83370.67,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A03,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,255.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,83370.67,0,nan,83370.67,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A03,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,269.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,83370.67,0,nan,83370.67,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A03,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,231.0,27AABCE4323Q1ZE
5,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382283,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,66859.89,0,nan,66859.89,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A04,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,255.0,27AABCE4323Q1ZE
5,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382283,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,66859.89,0,nan,66859.89,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A04,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,269.0,27AABCE4323Q1ZE
5,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382283,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,66859.89,0,nan,66859.89,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A04,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,231.0,27AABCE4323Q1ZE
6,‭0138‬,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382284,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,36949.77,0,nan,36949.77,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A05,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,255.0,27AABCE4323Q1ZE
6,‭0138‬,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382284,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,36949.77,0,nan,36949.77,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A05,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,269.0,27AABCE4323Q1ZE
6,‭0138‬,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382284,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,36949.77,0,nan,36949.77,0,0,nan,nan,nan,nan,nan,nan,D0138CR2002A05,nan,nan,Yes,nan,nan,SEZ Supplies under LUT,nan,231.0,27AABCE4323Q1ZE
7,‭0138‬,1092 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382285,nan,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,nan,nan,209158.53,0.18,nan,177252.99,nan,nan,0.09,15952.77,0.09,15952.77,nan,nan,D0138CR2002A06,nan,nan,nan,nan,nan,SEZ Supplies under LUT,nan,,
